delta_hz,line_width_hz,cavity_pulling,photon_number,a_gg,a_bb,a_dd,im_a_bd,residual
50000,238.300641359,80.2766913883,168.97448693,0.128915226748,0.127471395709,0.743613377544,0.00448169744133,2.21208691402e-09
75000,62.4439985726,0.0125346231581,182.795794481,0.133167936763,0.129502399811,0.737329663426,0.00616779571533,9.36003662397e-10
100000,29.3574022413,0.0136429360596,199.328186112,0.138254826496,0.131973209543,0.729771963962,0.00748177462603,8.15417702949e-10
125000,18.1841423306,0.0140406821608,217.484931522,0.143841517391,0.134740923854,0.721417558755,0.00849789273556,1.8135689902e-10
150000,13.1590659633,0.0141964642184,236.591811122,0.149720557268,0.13771676593,0.712562676802,0.00928803334037,1.60444856988e-10
175000,10.4821307934,0.0142623625275,256.235729556,0.155764839863,0.140846312674,0.703388847463,0.00990857964505,1.3994585256e-09
200000,8.89439790812,0.0142931912556,276.157732834,0.161894687026,0.14409543915,0.694009873824,0.0104009343124,2.5246824511e-10
225000,7.88502092105,0.0143101488539,296.189626667,0.168058346667,0.14744197725,0.684499676083,0.0107950134639,3.45542045663e-09
250000,7.21522474948,0.0143226429664,316.217841991,0.174220874459,0.150870956912,0.67490816863,0.0111125123437,2.9817725048e-09
275000,6.76121182271,0.0143344087616,336.162679626,0.180357747577,0.15437187177,0.665270380653,0.011369348313,1.76368356371e-09
300000,6.45355199244,0.0143479167625,355.966099535,0.186451107549,0.157937070164,0.655611822287,0.0115773705752,1.06896252423e-06
350000,6.12790280557,0.0143823588056,394.983221099,0.198456375723,0.165238501853,0.636305122424,0.0118807099696,2.44505365551e-09
400000,6.05974159957,0.0144286731726,433.017976441,0.210159377366,0.172742126226,0.617098496407,0.0120723331461,4.65956804296e-10
500000,6.4451784755,0.0145618517925,505.501232926,0.232461917823,0.188271662474,0.579266419703,0.0122325763086,5.10783250082e-09
600000,7.44920952815,0.0147571287658,572.455046369,0.253063091191,0.204398939885,0.542537968924,0.0121980072277,4.0673964162e-09
800000,12.3374442195,0.0154774994956,687.016705501,0.288312832462,0.238082700627,0.473604466911,0.0117775549487,8.55106043313e-09
1000000,29.6966500827,0.0178187361064,771.646283755,0.314352702694,0.273124707348,0.412522589958,0.0110519521965,8.34174230484e-09
1500000,365398.731966,1.25347488301,831.377085013,0.332731410773,0.33599532422,0.331273265007,0.00832557599816,3.30821794934e-10
2000000,24334.3829111,200.349996174,0.0351965319355,0.0769339066252,0.461543856594,0.46152223678,3.04511141016e-07,1.0401971944e-10
3000000,2218199.69627,0.580383613273,830.10181193,0.332339019055,0.335841519952,0.331819460992,0.00415553663335,2.68502917071e-10
5000000,379607.920393,0.350000005191,153.346199434,0.124106522903,0.442414914207,0.43347856289,0.00046674086179,9.53678209177e-07
7500000,824147.976508,200.349996174,152.045930796,0.123706440245,0.440292420099,0.436001139657,0.000306237501813,9.53678039641e-07
10000000,1258575.00187,-125.34025979,151.195903137,0.123444893273,0.439622450694,0.436932656033,0.000227802527703,1.27196741766e-09
15000000,1938901.90588,-199.649996164,149.447215341,0.122906835489,0.439321022819,0.437772141692,0.000149834435622,2.62220459421e-09
20000000,2370363.36759,-199.649996164,147.235111922,0.122226188284,0.439458921851,0.438314889865,0.000110640839939,3.31809083824e-09
30000000,2809456.86653,-199.649996164,141.082638179,0.12033311944,0.440250967323,0.439415913238,7.06457008503e-05,6.79368765593e-09
40000000,3002284.03526,0.350000005191,132.527794148,0.117700859738,0.441498867039,0.440800273223,4.97634159757e-05,8.99033178841e-09
50000000,3100429.09944,0.350000005191,121.544769569,0.11432146756,0.443141402896,0.442537129544,3.65087513721e-05,5.99029994654e-09
63000000,3168454.72711,0.350000005191,103.626830113,0.108808255419,0.445843252384,0.445348492197,2.47025047999e-05,4.41550988855e-09
